element,sp_num,obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,26,,,1.391696,0.000010,,1.61E+13,A,0,71854790,1s,2S,1/2,5p,2P*,3/2,,T7228extrap,L11926,
Fe,26,,,1.424905,0.000010,,3.2E+13,A,0,70180120,1s,2S,1/2,4p,2P*,3/2,,T7228extrap,L11926,
Fe,25,,,1.4608,0.0010,,2.54E+13,B,0,68454800,1s2,1S,0,1s.5p,1P*,1,,T3221,,
Fe,25,,,1.4612,0.0010,,3.1E+12,E,0,68438600,1s2,1S,0,1s.5p,3P*,1,,T5298interp,,
Fe,25,,,1.4946,0.0010,,5.05E+13,B,0,66907600,1s2,1S,0,1s.4p,1P*,1,,T3221,,
Fe,25,,,1.4953,0.0010,,6E+12,E,0,66875900,1s2,1S,0,1s.4p,3P*,1,,T5298interp,,
Fe,26,,,1.502350,0.000010,,7.86E+13,A,0,66562370,1s,2S,1/2,3p,2P*,3/2,,T7228extrap,L11926,
Fe,26,,,1.503496,0.000010,,7.83E+13,A,0,66511640,1s,2S,1/2,3p,2P*,1/2,,T7228extrap,L11926,
Fe,25,,,1.5732,0.0010,,1.24E+14,B,0,63565800,1s2,1S,0,1s.3p,1P*,1,,T3221,,
Fe,25,,,1.5750,0.0010,,1.5E+13,E,0,63490700,1s2,1S,0,1s.3p,3P*,1,,T5298interp,,
Fe,25,,,1.7747,0.0010,,,,[53777570],[110126000],1s.2p,3P*,1,2p2,1S,0,,,L11926,
Fe,26,,,1.778016,0.000010,,2.96E+14,A,0,56242450,1s,2S,1/2,2p,2P*,3/2,,T7228extrap,L11926,
Fe,25,,,1.7791,0.0010,,8.7E+12,D,[53527760],[109737000],1s.2s,3S,1,2s.2p,1P*,1,,T4156,L11926,
Fe,25,,,1.7831,0.0010,,4.69E+14,C,[54042490],[110126000],1s.2p,1P*,1,2p2,1S,0,,T4156,L11926,
Fe,26,,,1.783442,0.000010,,2.93E+14,A,0,56071350,1s,2S,1/2,2p,2P*,1/2,,T7228extrap,L11926,
Fe,25,,,1.7835,0.0010,,,,[53777570],[109846000],1s.2p,3P*,1,2p2,1D,2,,,L11926,
Fe,25,,,1.7871,0.0010,,2.57E+14,C,[53781230],[109737000],1s.2s,1S,0,2s.2p,1P*,1,,T4156,L11926,
Fe,25,,,1.7873,0.0010,,1.19E+14,C,[53896600],[109846000],1s.2p,3P*,2,2p2,1D,2,,T4156,L11926,
Fe,25,,,1.7881,0.0010,,2.68E+14,C,[53527760],[109453000],1s.2s,3S,1,2s.2p,3P*,2,,T4156,L11926,
Fe,25,,,1.7887,0.0010,,1.63E+14,C,[53777570],[109683000],1s.2p,3P*,1,2p2,3P,2,,T4156,L11926,
Fe,25,,,1.7899,0.0010,,1.78E+14,C,[53761280],[109631000],1s.2p,3P*,0,2p2,3P,1,,T4156,L11926,
Fe,25,,,1.7904,0.0010,,1.23E+14,C,[53777570],[109631000],1s.2p,3P*,1,2p2,3P,1,,T4156,L11926,
Fe,25,,,1.7920,0.0010,,4.1E+14,C,[54042490],[109846000],1s.2p,1P*,1,2p2,1D,2,,T4156,L11926,
Fe,25,,,1.7921,0.0010,,2.59E+14,C,[53527760],[109329000],1s.2s,3S,1,2s.2p,3P*,1,,T4156,L11926,
Fe,25,,,1.7926,0.0010,,2.81E+14,C,[53896600],[109683000],1s.2p,3P*,2,2p2,3P,2,,T4156,L11926,
Fe,25,,,1.7930,0.0010,,4.92E+14,C,[53777570],[109551000],1s.2p,3P*,1,2p2,3P,0,,T4156,L11926,
Fe,25,,,1.7933,0.0010,,2.67E+14,C,[53527760],[109291000],1s.2s,3S,1,2s.2p,3P*,0,,T4156,L11926,
Fe,25,,,1.7942,0.0010,,2.22E+14,C,[53896600],[109631000],1s.2p,3P*,2,2p2,3P,1,,T4156,L11926,
Fe,25,,,1.7973,0.0010,,8.8E+13,D,[54042490],[109683000],1s.2p,1P*,1,2p2,3P,2,,T4156,L11926,
Fe,25,,,1.7989,0.0010,,1E+13,D,[54042490],[109631000],1s.2p,1P*,1,2p2,3P,1,,T4156,L11926,
Fe,25,,,1.8003,0.0010,,8.6E+12,D,[53781230],[109329000],1s.2s,1S,0,2s.2p,3P*,1,,T4156,L11926,
Fe,25,,,1.8015,0.0010,,,,[54042490],[109551000],1s.2p,1P*,1,2p2,3P,0,,,L11926,
Fe,25,,,1.8024,0.0010,,4.1E+13,D,[53777570],[109258000],1s.2p,3P*,1,2s2,1S,0,,T4156,L11926,
Fe,25,,,1.8111,0.0010,,5.9E+13,D,[54042490],[109258000],1s.2p,1P*,1,2s2,1S,0,,T4156,L11926,
Fe,24,1.8453,0.0010,1.8452,0.0004,,,,9378200,63572000,1s2.3p,2P*,1/2,1s.2p.3p,2S,1/2,,,L4361,
Fe,24,1.8464,0.0010,1.8466,0.0004,,,,9417100,63572000,1s2.3p,2P*,3/2,1s.2p.3p,2S,1/2,,,L4361,
Fe,25,,,1.8504,0.0010,,4.57E+14,B,0,54042490,1s2,1S,0,1s.2p,1P*,1,,T3585,,
Fe,24,,,1.852,0.010,,1E+13,D,391983,54373600,1s2.2p,2P*,1/2,1s.(2S).2p2.(1S),2S,1/2,,T4731,,
Fe,24,1.85273,0.00010,1.85275,0.00017,,,,9378200,63352000,1s2.3p,2P*,1/2,1s.2p.3p,2D,3/2,,,L6541,
Fe,24,1.85349,0.00010,1.85353,0.00017,,,,9417100,63368100,1s2.3p,2P*,3/2,1s.2p.3p,2D,5/2,,,L6541,
Fe,24,1.8540,0.0010,1.8540,0.0004,,,,9272500,63209000,1s2.3s,2S,1/2,1s.2p.3s,2P*,3/2,,,L4361,
Fe,24,,,1.8563,0.0010,,4.82E+14,C,0,53871000,1s2.2s,2S,1/2,1s.(2S).2s.2p.(1P*),2P*,3/2,,T4731,,
Fe,25,,,1.8554,0.0010,,6.64E+09,B,0,53896600,1s2,1S,0,1s.2p,3P*,2,M2,T4731,,
Fe,24,1.85592,0.00010,1.85605,0.00016,,,,9472600,63350600,1s2.3d,2D,5/2,1s.2p.3d,2F*,7/2,,,L6541,
Fe,24,,,1.8578,0.0010,,1.2E+13,D,391983,54219500,1s2.2p,2P*,1/2,1s.(2S).2p2.(3P),2P,3/2,,T4731,,
Fe,24,1.85691,0.00010,1.85691,0.00010,,2.43E+14,C,520757,54373600,1s2.2p,2P*,3/2,1s.(2S).2p2.(1S),2S,1/2,,T4731,L6541,
Fe,24,1.85704,0.00010,1.85704,0.00010,,3.06E+14,C,0,53849100,1s2.2s,2S,1/2,1s.(2S).2s.2p.(1P*),2P*,1/2,,T4731,L6657,
Fe,24,1.8580,0.0010,1.8580,0.0004,,,,9459000,63281000,1s2.3d,2D,3/2,1s.2p.(3P*).3d,4D*,3/2,,,L4361,
Fe,23,1.8588,0.0010,1.8586,0.0003,,,,379125,54182000,1s2.2s.2p,3P*,1,1s.(2S).2s.2p2.(2P),1P,1,,,L4361,
Fe,25,,,1.8595,0.0010,,4.42E+13,B,0,53777570,1s2,1S,0,1s.2p,3P*,1,,T3585,,
Fe,24,1.86108,0.00010,1.86108,0.00010,,4.4E+12,D,0,53732200,1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),2P*,3/2,,T4731,L6657,
Fe,24,1.86224,0.00010,1.86224,0.00010,,6.24E+14,C,520757,54219500,1s2.2p,2P*,3/2,1s.(2S).2p2.(3P),2P,3/2,,T4731,L6657,
Fe,24,,,1.8628,0.0010,,5.47E+14,C,391983,[54076000],1s2.2p,2P*,1/2,1s.(2S).2p2.(3P),2P,1/2,,T4731,,
Fe,24,1.86328,0.00010,1.86328,0.00010,,3.16E+14,C,391983,54060800,1s2.2p,2P*,1/2,1s.(2S).2p2.(1D),2D,3/2,,T4731,L6657,
Fe,24,1.86345,0.00010,1.86345,0.00010,,1.91E+14,C,0,53663900,1s2.2s,2S,1/2,1s.(2S).2s.2p.(3P*),2P*,1/2,,T4731,L6541,
Fe,24,1.86598,0.00010,1.86598,0.00010,,2.14E+14,C,520757,54111900,1s2.2p,2P*,3/2,1s.(2S).2p2.(1D),2D,5/2,,T4731,L6657,
Fe,24,,,1.8672,0.0010,,1.63E+14,C,520757,[54076000],1s2.2p,2P*,3/2,1s.(2S).2p2.(3P),2P,1/2,,T4731,,
Fe,24,,,1.8678,0.0010,,3.5E+13,D,520757,54060800,1s2.2p,2P*,3/2,1s.(2S).2p2.(1D),2D,3/2,,T4731,,
Fe,25,,,1.8682,0.0010,,2.12E+08,B,0,53527760,1s2,1S,0,1s.2s,3S,1,M1,T4731,,
Fe,23,1.8692,0.0010,1.8692,0.0003,,,,752410,54252000,1s2.2s.2p,1P*,1,1s.(2S).2s.2p2.(2S),1S,0,,,L4361,
Fe,24,,,1.8699,0.0010,,1E+11,E,391983,[53872000],1s2.2p,2P*,1/2,1s.(2S).2p2.(3P),4P,3/2,,T4731,,
Fe,23,1.87051,0.00010,1.87042,0.00017,,,,0,53464000,1s2.2s2,1S,0,1s.2s2.2p,1P*,1,,,L6657,
