order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  182	 107	17.0	  -3.8901	 9.4174
 1	  202	 103	18.3	  -4.3814	 8.8253
 2	  289	  96	17.7	  -4.3685	 8.7309
 3	  329	  96	16.4	  -2.0796	 9.8638
 4	  346	 114	17.9	  -3.9957	 8.8228
 5	  369	 112	14.6	  -3.9434	 8.4534
 6	  458	 100	12.8	  -3.5244	 7.6362
 7	  474	 111	11.0	  -4.8716	 9.4708
 8	  721	 124	15.9	  -3.3097	 8.6688
 9	  784	 122	16.4	  -2.9986	 8.6419
10	  883	 116	15.0	  -2.8853	 8.9183
11	  878	 111	14.9	  -2.7907	 8.3376
12	  880	 114	11.9	  -3.0555	 8.2514
13	 1073	 120	13.1	  -3.6346	 8.4155
14	 1134	 114	17.3	  -3.2609	 8.5481
15	 1288	 113	16.3	  -3.0449	 8.2979
16	 1287	 106	16.9	  -3.1468	 7.9488
17	 1421	  99	18.1	  -3.9687	 8.3068
18	 1398	 110	14.5	  -4.1120	 8.2926
19	 1440	 100	16.4	  -2.5356	 9.7050
20	 1461	  89	12.4	  -1.8462	10.4129
21	 1738	  89	12.0	  -3.5913	 8.2058
22	 1956	 102	14.3	  -3.9181	 8.8016
23	 2049	 111	14.6	  -3.3206	 8.4043
24	 2093	 106	13.4	  -3.7620	 7.8476
25	 2261	  89	13.6	  -2.6944	 8.8394
26	 2400	  93	16.8	  -4.2362	 9.5022
27	 2415	  78	16.3	  -3.3794	 8.9153
28	 2616	  66	15.0	  -3.9204	 8.6213
29	 2800	  67	13.9	  -3.3659	 8.9034
30	 2886	  77	 9.2	  -3.1389	 8.4434
31	 2939	  72	12.0	  -3.6454	 8.6451
32	 2934	  68	10.7	  -3.4209	 8.1000
33	 2998	  68	 9.8	  -3.3492	 8.7304
34	 3040	  74	 8.5	  -3.2578	 8.5800
35	 2879	  78	 9.7	  -3.1845	 8.7331
36	 3072	  68	15.4	  -3.0688	 9.0566
37	 3460	  54	16.2	  -3.4198	 8.3632
38	 3605	  64	13.8	  -3.3682	 8.9840
39	 3659	  85	14.3	  -3.8479	 8.5636
40	 3419	  68	13.6	  -4.4545	 8.6680
41	 3722	  67	14.5	  -3.8913	 8.9083
42	 3948	  78	15.7	  -3.7499	 9.6308
43	 3884	  60	21.9	  -3.6375	 9.1477
44	 4044	  73	14.2	  -3.1717	 8.8451
45	 4042	  73	16.6	  -3.1353	 8.6840
46	 3953	  43	19.0	  -3.5397	 8.8314
47	 4264	  59	16.7	  -3.0882	 8.8262
48	 3948	  46	12.4	  -3.8562	 9.6261
49	 4322	  52	11.8	  -3.4886	 8.8552
50	 4004	  40	15.7	  -4.0571	 9.3561
51	 3988	  47	15.2	  -3.2175	 9.0891
52	 4248	  59	 7.5	  -3.2815	 8.8849
53	 4409	  41	 9.2	  -2.6105	 9.1665
54	 4540	  40	 6.1	  -3.5849	 8.6546
55	 3738	  30	 7.6	  -3.8694	 9.9882
56	 3636	  13	12.7	  -4.0435	 9.8725
57	    0	   0	 0.0	   0.0000	 0.0000
58	 4634	  17	12.0	  -3.9210	 8.4877
59	 4513	  22	 9.6	  -3.0922	 8.8051
60	 4843	  47	10.8	  -3.7617	 8.6044
61	 5318	  42	10.3	  -3.0613	 8.7892
62	 5709	  47	10.4	  -3.3729	 8.4961
63	 3955	   7	10.9	  -3.4129	 9.4826
64	 5392	  31	 9.2	  -4.5981	 9.5125
65	 5924	  25	16.8	  -3.5310	 8.9943
66	    0	   0	 0.0	   0.0000	 0.0000
67	 4383	   5	 5.9	  -3.3138	 9.9182
68	 6125	  23	 8.5	  -4.0873	 9.6121
69	 6095	  32	 5.8	  -3.3660	10.0493
70	 5730	  19	 4.6	  -2.5947	 9.9598
71	    0	   0	 0.0	   0.0000	 0.0000
