order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	    2	 107	84.0	  -7.8373	 0.3219
 1	    1	 103	140.2	  -1.7578	 1.4815
 2	    1	  96	107.5	  -3.8254	 0.5649
 3	    1	  96	109.8	   5.7139	 0.7098
 4	    0	 114	207.0	  13.7320	 0.5585
 5	    1	 112	86.1	 -11.9479	 1.4928
 6	    0	 100	474.8	  -5.8045	 0.4075
 7	    1	 111	96.5	 -20.8686	 0.7575
 8	    1	 124	259.9	 -17.0184	 0.3614
 9	    0	 122	236.1	  12.9682	 0.4024
10	    1	 116	121.0	 -19.0351	 1.0818
11	    1	 111	177.5	  -2.6366	 0.5429
12	    1	 114	113.6	  -6.2944	 0.2873
13	    1	 120	267.4	   5.3706	 0.3181
14	    0	 114	111.0	 -20.0516	 0.7350
15	    0	 113	283.7	  11.7345	 0.8186
16	    0	 106	236.4	  -1.0861	 0.3447
17	    1	  99	174.7	  -5.4949	 0.8303
18	    0	 110	1016.6	  15.4828	 0.3482
19	    0	 100	299.1	   7.9422	 0.4262
20	    1	  89	180.7	 -20.9280	 0.4229
21	    1	  89	238.8	  -1.0488	 0.3904
22	    1	 102	188.7	  15.3794	 0.5662
23	    0	 111	413.7	   8.7903	 0.3907
24	    0	 106	1102.7	  13.3727	 0.5990
25	    0	  89	622.4	  10.7243	 0.4844
26	    0	  93	298.6	 -19.0488	 0.3255
27	    0	  78	259.8	   0.7353	 0.3601
28	    1	  66	241.6	 -11.5822	 0.4476
29	    0	  67	637.8	   6.1942	 0.8047
30	    0	  77	750.6	  -8.0538	 0.6805
31	    0	  72	111.3	 -14.6461	 2.1018
32	    1	  68	175.7	  -6.7139	 0.5487
33	    0	  68	911.6	   8.3242	 1.0843
34	    0	  74	1142.4	  12.2221	 0.6813
35	    0	  78	418.6	   3.1817	 0.5688
36	    0	  68	303.4	  -1.6816	 0.3744
37	    0	  54	635.9	   1.1265	 0.3805
38	    1	  64	261.2	  -0.4385	 0.6293
39	    0	  85	1538.4	  -7.3541	 0.3550
40	    0	  68	447.2	  12.5572	 0.6458
41	    1	  67	172.7	   3.6896	 2.1956
42	    0	  78	316.6	   5.4982	 0.3010
43	    1	  60	180.8	  -8.3156	 0.6233
44	    1	  73	162.6	 -16.5752	 0.7514
45	    2	  43	131.0	 -14.3198	 2.9620
46	    0	  59	1029.8	   6.2989	 0.3309
47	    0	  46	2244.6	  -7.6730	 0.5088
48	    1	  52	269.8	 -13.4684	 0.4990
49	    1	  40	249.1	 -18.5844	 0.5775
50	    0	  47	529.6	 -14.8921	 0.5681
51	    1	  59	288.7	 -15.8079	 0.7534
52	    0	  41	569.8	  -6.9267	 0.3386
53	    0	  40	402.7	 -23.1042	 1.0708
54	    2	  30	189.9	  -2.5121	 0.3831
55	    3	  13	246.6	 -15.2482	 0.5207
56	    0	   0	 0.0	   0.0000	 0.0000
57	    1	  17	299.4	  -1.4875	 1.0334
58	    3	  22	135.5	   5.2914	 0.7533
59	    1	  47	314.7	 -21.3465	 1.1971
60	    2	  42	210.3	   7.0202	 0.4402
61	    1	  47	537.6	   4.6666	 0.4627
62	    4	   7	183.4	 -17.5768	 0.3047
63	    2	  31	287.1	  -6.2577	 0.7502
64	    6	  25	108.2	 -11.8884	 0.2919
65	    0	   0	 0.0	   0.0000	 0.0000
66	   12	   5	88.9	 -19.2854	 0.3898
67	    3	  23	194.0	 -10.1967	 2.7616
68	    5	  32	106.2	 -15.2887	 1.8684
69	   13	  19	35.0	 -18.8997	 5.0934
70	    0	   0	 0.0	   0.0000	 0.0000
