element,sp_num,obs_wl_vac(A),ritz_wl_vac(A),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,8,,14.6343,,8.085E+10,AA,0.0,-6833270.2344,1s,2S,1/2,6p,2P*,3/2,,T6492extrap,,
O,8,,14.6344,,8.085E+10,AA,0.0,-6833214.5940,1s,2S,1/2,6p,2P*,1/2,,T6492extrap,,
O,8,,14.8205,,1.409E+11,AA,0.0,-6747408.7880,1s,2S,1/2,5p,2P*,3/2,,T6492extrap,,
O,8,,14.8207,,1.409E+11,AA,0.0,-6747312.6360,1s,2S,1/2,5p,2P*,1/2,,T6492extrap,,
O,8,,15.1760,,2.794E+11,AA,0.0,-6589342.716,1s,2S,1/2,4p,2P*,3/2,,T6492extrap,,
O,8,,15.1765,,2.794E+11,AA,0.0,-6589154.903,1s,2S,1/2,4p,2P*,1/2,,T6492extrap,,
O,8,,16.0055,,6.855E+11,AA,0.0,-6247844.960,1s,2S,1/2,3p,2P*,3/2,,T6492extrap,,
O,8,,16.0067,,6.853E+11,AA,0.0,-6247399.742,1s,2S,1/2,3p,2P*,1/2,,T6492extrap,,
O,7,,17.8052,,1.84E+02,C,0,5616340.0,1s2,1S,0,1s.4s,3S,1,M1,T4905,,
O,7,,18.6270,,9.365E+11,AA,0,5368550.0,1s2,1S,0,1s.3p,1P*,1,,T5997,,
O,7,,18.6377,,1.451E+08,AA,0,5365470.0,1s2,1S,0,1s.3d,1D,2,E2,T3908,,
O,7,,18.7307,,3.57E+02,C,0,5338820.0,1s2,1S,0,1s.3s,3S,1,M1,T4905,,
O,8,,18.9671,,2.567E+12,AA,0.0,-5272284.37,1s,2S,1/2,2p,2P*,3/2,,T6492extrap,,
O,8,,18.9725,,2.566E+12,AA,0.0,-5270781.85,1s,2S,1/2,2p,2P*,1/2,,T6492extrap,,
O,7,,21.6020,,3.309E+12,AA,0,4629201.0,1s2,1S,0,1s.2p,1P*,1,,T5997,,
O,7,,21.8044,,3.31E+05,A,0,4586230.0,1s2,1S,0,1s.2p,3P*,2,M2,T1494,,
O,7,,21.8070,,,,0,4585680.0,1s2,1S,0,1s.2p,3P*,1,,,,
O,7,,22.1012,,1.04E+03,AA,0,4524640.0,1s2,1S,0,1s.2s,3S,1,M1,T1896,,
O,8,,64.0005,,1.759E+10,AA,-5270781.85,-6833270.1380,2p,2P*,1/2,6d,2D,3/2,,T6492extrap,,
O,8,,64.0026,,1.005E+09,AA,-5270781.85,-6833217.3570,2p,2P*,1/2,6s,2S,1/2,,T6492extrap,,
O,8,,64.0035,,1.171E+10,AA,-5270855.39,-6833270.2344,2s,2S,1/2,6p,2P*,3/2,,T6492extrap,,
O,8,,64.0058,,1.171E+10,AA,-5270855.39,-6833214.5940,2s,2S,1/2,6p,2P*,1/2,,T6492extrap,,
O,8,,64.0613,,2.107E+10,AA,-5272284.37,-6833288.6610,2p,2P*,3/2,6d,2D,5/2,,T6492extrap,,
O,8,,64.0621,,3.511E+09,AA,-5272284.37,-6833270.1380,2p,2P*,3/2,6d,2D,3/2,,T6492extrap,,
O,8,,64.0642,,2.006E+09,AA,-5272284.37,-6833217.3570,2p,2P*,3/2,6s,2S,1/2,,T6492extrap,,
O,8,,67.7219,,3.224E+10,AA,-5270781.85,-6747408.6240,2p,2P*,1/2,5d,2D,3/2,,T6492extrap,,
O,8,,67.7253,,2.028E+10,AA,-5270855.39,-6747408.7880,2s,2S,1/2,5p,2P*,3/2,,T6492extrap,,
O,8,,67.7261,,1.762E+09,AA,-5270781.85,-6747317.4070,2p,2P*,1/2,5s,2S,1/2,,T6492extrap,,
O,8,,67.7297,,2.028E+10,AA,-5270855.39,-6747312.6360,2s,2S,1/2,5p,2P*,1/2,,T6492extrap,,
O,8,,67.7894,,3.859E+10,AA,-5272284.37,-6747440.6320,2p,2P*,3/2,5d,2D,5/2,,T6492extrap,,
O,8,,67.7909,,6.433E+09,AA,-5272284.37,-6747408.6240,2p,2P*,3/2,5d,2D,3/2,,T6492extrap,,
O,8,,67.7951,,3.518E+09,AA,-5272284.37,-6747317.4070,2p,2P*,3/2,5s,2S,1/2,,T6492extrap,,
O,8,,75.8403,,7.056E+10,AA,-5270781.85,-6589342.396,2p,2P*,1/2,4d,2D,3/2,,T6492extrap,,
O,8,,75.8445,,3.963E+10,AA,-5270855.39,-6589342.716,2s,2S,1/2,4p,2P*,3/2,,T6492extrap,,
O,8,,75.8505,,3.528E+09,AA,-5270781.85,-6589164.206,2p,2P*,1/2,4s,2S,1/2,,T6492extrap,,
O,8,,75.8553,,3.961E+10,AA,-5270855.39,-6589154.903,2s,2S,1/2,4p,2P*,1/2,,T6492extrap,,
O,8,,75.9232,,8.446E+10,AA,-5272284.37,-6589404.912,2p,2P*,3/2,4d,2D,5/2,,T6492extrap,,
O,8,,75.9268,,1.407E+10,AA,-5272284.37,-6589342.396,2p,2P*,3/2,4d,2D,3/2,,T6492extrap,,
O,8,,75.9371,,7.037E+09,AA,-5272284.37,-6589164.206,2p,2P*,3/2,4s,2S,1/2,,T6492extrap,,
O,7,,78.8619,,4.61E+09,A,4585620.0,5853660.0,1s.2p,3P*,0,1s.7d,3D,1,,T5231LS,,
O,7,,78.8656,,6.22E+09,A,4585680.0,5853660.0,1s.2p,3P*,1,1s.7d,3D,2,,T5231LS,,
O,7,,78.8656,,3.45E+09,A,4585680.0,5853660.0,1s.2p,3P*,1,1s.7d,3D,1,,T5231LS,,
O,7,,78.8998,,2.3E+08,A,4586230.0,5853660.0,1s.2p,3P*,2,1s.7d,3D,1,,T5231LS,,
O,7,,78.8998,,8.28E+09,A,4586230.0,5853660.0,1s.2p,3P*,2,1s.7d,3D,3,,T5231LS,,
O,7,,78.8998,,2.07E+09,A,4586230.0,5853660.0,1s.2p,3P*,2,1s.7d,3D,2,,T5231LS,,
O,7,,81.4697,,7.515E+09,AA,4585620.0,5813070.0,1s.2p,3P*,0,1s.6d,3D,1,,T5997LS,,
O,7,,81.4737,,1.014E+10,AA,4585680.0,5813070.0,1s.2p,3P*,1,1s.6d,3D,2,,T5997LS,,
O,7,,81.4737,,5.635E+09,AA,4585680.0,5813070.0,1s.2p,3P*,1,1s.6d,3D,1,,T5997LS,,
O,7,,81.5102,,3.752E+08,AA,4586230.0,5813070.0,1s.2p,3P*,2,1s.6d,3D,1,,T5997LS,,
O,7,,81.5102,,1.351E+10,AA,4586230.0,5813070.0,1s.2p,3P*,2,1s.6d,3D,3,,T5997LS,,
O,7,,81.5102,,3.377E+09,AA,4586230.0,5813070.0,1s.2p,3P*,2,1s.6d,3D,2,,T5997LS,,
O,7,,81.5947,,6.77E+09,AA,4588380.0,5813950.0,1s.2s,1S,0,1s.6p,1P*,1,,T5997,,
O,7,,84.4253,,1.177E+10,AA,4629201.0,5813680.0,1s.2p,1P*,1,1s.6d,1D,2,,T5997,,
O,7,,86.0748,,1.369E+10,AA,4585620.0,5747400.0,1s.2p,3P*,0,1s.5d,3D,1,,T5997LS,,
O,7,,86.0778,,1.848E+10,AA,4585680.0,5747420.0,1s.2p,3P*,1,1s.5d,3D,2,,T5997LS,,
O,7,,86.0793,,1.026E+10,AA,4585680.0,5747400.0,1s.2p,3P*,1,1s.5d,3D,1,,T5997LS,,
O,7,,86.1037,,2.461E+10,AA,4586230.0,5747620.0,1s.2p,3P*,2,1s.5d,3D,3,,T5997LS,,
O,7,,86.1186,,6.15E+09,AA,4586230.0,5747420.0,1s.2p,3P*,2,1s.5d,3D,2,,T5997LS,,
O,7,,86.1200,,6.833E+08,AA,4586230.0,5747400.0,1s.2p,3P*,2,1s.5d,3D,1,,T5997LS,,
O,7,,86.2017,,1.165E+10,AA,4588380.0,5748450.0,1s.2s,1S,0,1s.5p,1P*,1,,T5997,,
O,7,,89.3632,,2.167E+10,AA,4629201.0,5748230.0,1s.2p,1P*,1,1s.5d,1D,2,,T5997,,
O,7,,96.1224,,2.958E+10,AA,4585620.0,5625960.0,1s.2p,3P*,0,1s.4d,3D,1,,T5997LS,,
O,7,,96.1243,,3.993E+10,AA,4585680.0,5626000.0,1s.2p,3P*,1,1s.4d,3D,2,,T5997LS,,
O,7,,96.1280,,2.218E+10,AA,4585680.0,5625960.0,1s.2p,3P*,1,1s.4d,3D,1,,T5997LS,,
O,7,,96.1289,,5.323E+10,AA,4586230.0,5626500.0,1s.2p,3P*,2,1s.4d,3D,3,,T5997LS,,
O,7,,96.1751,,1.329E+10,AA,4586230.0,5626000.0,1s.2p,3P*,2,1s.4d,3D,2,,T5997LS,,
