element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,74,"=""""","=""""","=""0.01715604""","=""0.00000015""","=""""","=""""",,"=""0""","=""582885000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""""","=""L3620""",
W,74,"=""""","=""""","=""0.01727477""","=""0.00000018""","=""""","=""""",,"=""0""","=""578879000""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""""","=""L3620""",
W,74,"=""""","=""""","=""0.02006858""","=""0.00000020""","=""""","=""""",,"=""0""","=""498291400""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,"=""""","=""L7188""",
W,73,"=""""","=""""","=""0.0204142""","=""0.0000007""","=""""","=""""",,"=""0""","=""489855000""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,"=""""","=""L8473""",
W,74,"=""""","=""""","=""0.02062528""","=""0.00000021""","=""""","=""""",,"=""0""","=""484842000""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,"=""""","=""L7188""",
W,73,"=""""","=""""","=""0.0209761""","=""0.0000007""","=""""","=""""",,"=""0""","=""476733000""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",,"=""""","=""L8473""",
W,74,"=""""","=""""","=""0.1020025""","=""0.0000010""","=""""","=""""",,"=""(484842000)""","=""(582878800)""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",,"=""""","=""L3620""",
W,74,"=""""","=""""","=""0.102200""","=""0.000005""","=""""","=""""",,"=""(485037900)""","=""(582885000)""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""""","=""L3620""",
W,65,"=""0.11584""","=""0.00003""","=""0.11584""","=""0.00003""","=""j""","=""""",,"=""0""","=""86325000""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.3p""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L10374""",
W,74,"=""""","=""""","=""0.1166465""","=""0.0000014""","=""""","=""""",,"=""(498291400)""","=""(584020500)""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",,"=""""","=""L3620""",
W,65,"=""0.119116""","=""0.000005""","=""0.119116""","=""0.000005""","=""100""","=""""",,"=""0""","=""83952000""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).3d""","=""(1/2,3/2)*""","=""1""",,"=""""","=""L11164""",
W,65,"=""0.120172""","=""0.000006""","=""0.120172""","=""0.000006""","=""25""","=""""",,"=""0""","=""83214000""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.3p""","=""(1/2,1/2)*""","=""1""",,"=""""","=""L11164""",
W,65,"=""0.12800""","=""0.00003""","=""0.12800""","=""0.00003""","=""j""","=""""",,"=""0""","=""78126000""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).3s""","=""(1/2,1/2)*""","=""1""",,"=""""","=""L10374""",
W,65,"=""0.13596""","=""0.00004""","=""0.13596""","=""0.00004""","=""j""","=""""",,"=""0""","=""73551000""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""(3/2,5/2)*""","=""1""",,"=""""","=""L10374""",
W,65,"=""0.13776""","=""0.00004""","=""0.13776""","=""0.00004""","=""j""","=""""",,"=""0""","=""72592000""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).3d""","=""(3/2,3/2)*""","=""1""",,"=""""","=""L10374""",
W,65,"=""0.14923""","=""0.00004""","=""0.14923""","=""0.00004""","=""j""","=""""",,"=""0""","=""67010000""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).3s""","=""(3/2,1/2)*""","=""1""",,"=""""","=""L10374""",
